5.14A,"P/F precast R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) in mouldings as in cornices, windows sills etc.",cum,4.00,,
5.15,"P/F precast R.C.C. (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) in lintels, beams and bressumers etc.",cum,4.00,,
5.15A,"P/F precast R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) in lintels, beams and bressumers etc.",cum,4.00,,
5.16,P/F precast R.C.C. (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) in shelves.,cum,4.05,,
5.16A,P/F precast R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) in shelves.,cum,4.05,,
5.17,P/F precast R.C.C. (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) in vertical & horizontal fins individually or forming box louvers.,cum,4.00,,
No.,,,per unit quantity of work(Quintals),,
5.17A,P/F precast R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) in vertical &,,,,
,horizontal fins individually or forming box louvers.,cum,4.00,,
5.18,Fixing precast cement concrete Jali (1:2:4).,,,,
,5.18.1 50 mm thick,100 sqm,1.64*,,
,5.18.2 40 mm thick,100 sqm,1.64*,,
,5.18.3 25 mm thick,100 sqm,1.64*,,
,ENCASING ROLLED STEEL SECTION,,,,
5.19,"Encasing rolled steel sections, in beams and columns, with cement concrete (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources).",cum,4.00,,
5.19A,"Encasing rolled steel sections, in beams and columns, with cement concrete (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%).",cum,4.00,,
5.20,Encasing rolled steel section in grillages with cement concrete (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources).,cum,4.00,,
5.20A,Encasing rolled steel section in grillages with cement concrete (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%).,cum,4.00,,
,DESIGN MIX CONCRETE,,,,
5.33,P/L Design mix concrete derived from natural sources.,cum,3.30*,,
,5.33.1 Upto Plinth level,,,,
,5.33.1.1 Concrete of M25 grade with minimum cement,,,,
,content of 330 kg /cum,cum,3.30,,
,5.33.1.2 Concrete of M30 grade with minimum cement,,,,
,content of 350 kg /cum,cum,3.50,,
,5.33.1.3 Concrete of M35 grade with minimum cement,,,,
,content of 370 kg /cum,cum,3.70,,
,5.33.1.4 Concrete of M40 grade with minimum cement,,,,
,content of 390 kg/cum,cum,3.90,,
,5.33.1.5 Concrete of M50 grade with minimum cement,,,,
,content of 410 kg/cum,cum,4.10,,
No.,,,per unit quantity of work(Quintals),,
,HONEY COMB WORK,,,,
6.23,Honey-comb brick work 10/11.4 cm thick in cement mortar 1:4.,100 sqm,6.56,,
,EXPOSED BRICK WORK,,,,
6.26,Brick work with selected bricks in cement mortar (1:6). cum 0.625,cum,0.625,,
6.27,Brick work with modular bricks in cement mortar (1:6).,cum,0.55,,
6.28,Brick work with machine moulded modular bricks in cement mortar (1:6).,cum,0.55,,
6.29,Brick work with m/c moulded F.P.S. bricks in cement mortar (1:6).,cum,0.625,,
6.30,Brick work with machine moulded perforated F.P.S. bricks in cement mortar (1:6).,cum,0.625,,
6.31,Brick work with machine moulded perforated modular bricks in cement mortar (1:6).,cum,0.55,,
6.32,Brick work with clay flyash F.P.S. brick,,,,
,6.32.1 Cement mortar 1:4 (1 cement : 4 coarse sand),cum,0.95,,
,6.32.2 Cement mortar 1:6 (1 cement : 6 coarse sand),cum,0.625,,
6.34,Brick work with non modular fly ash bricks in,,,,
,6.34.1 Cement mortar 1:4 (1 cement : 4 coarse sand),cum,0.95,,
,6.34.2 Cement mortar 1:6 (1 cement : 6 Coarse sand),cum,0.625,,
6.35,Brick work with modular calcium silicate bricks machine moulded in,,,,
,6.35.1 Cement mortar 1:4 (1 cement : 4 coarse sand),cum,0.836,,
,6.35.3 Cement mortar 1:6 (1 cement : 6 Coarse sand),cum,0.55,,
6.36,Brick work with modular extruded burnt fly ash clay sewer bricks in :,,,,
,6.36.1 Cement Mortar 1:4 ( 1 cement : 4 coarse sand),cum,0.836,,
6.37,Brick work with modular extruded burnt fly ash clay sewer bricks in cement mortar (1:3).,cum,1.275,,
6.38,Autoclaved aerated cement blocks masonry with 100mm thick AAC blocks in cement mortar (1:4).,cum,0.57,,
6.44,Brick edging 7 cm wide in cement mortar (1:4).,100 metre,0.137,,
6.45,Half brick masonry with non modular fly ash bricks.,,,,
,6.45.1 Cement mortar 1:3 (1 cement :3 coarse sand).,100 sqm,14.28,,
,6.45.2 Cement mortar 1:4 (1 cement :4 coarse sand).,100 sqm,10.64,,
No.,,,per unit quantity of work(Quintals),,
,RANDOM RUBBLE MASONRY,,,,
7.1 & 7.2,Random rubble masonry with cement mortar (1:6). COURSED RUBBLE MASONRY,cum,0.825,,
7.6,Coursed rubble masonry (first sort) with :,,,,
,7.6.1 Cement mortar 1:6 (1 cement : 6 coarse sand),cum,0.750,,
7.7,Coursed rubble masonry (second sort) with :,,,,
,7.7.1 Cement mortar 1:6 (1 cement : 6 coarse sand),cum,0.750,,
,ASHLAR MASONRY,,,,
7.12,Stone work in plain ashlar in cement mortar (1:6) including pointing with white cement mortar (1:2).,cum,0.54,,
7.13 & 7.14,Stone work plain ashlar in arches/domes in cement mortar (1:3) including pointing with white cement mortar (1:2).,cum,1.07,,
7.15,Stone work ashlar punched in cement mortar 1:6) including pointing with white cement mortar (1:2).,cum,0.54,,
,"SUNK, MOULDED, CARVED ASHLAR MASONRY",,,,
7.20,Stone work sunk and / or moulded including pointing with white cement mortar (1:2).,cum,0.54,,
,MISCELLANEOUS STONE WORK,,,,
7.26,P/F stone dowels 10x5x2.50 cm in cement mortar (1:2) .,each,0.007,,
7.28,P/F sloping chajja of stone 40 mm thick and upto 80 cm wide in cement mortar (1:4) i/c pointing in white cement mortar (1:2).,100 sqm,5.59,,
7.29,P/F horizontal chajja of stone 40 mm thick and upto 80 cm projection in cement mortar (1:4) i/c pointing in white cement mortar (1:2).,100 sqm,4.94 + 0.03*,,
7.30,P/F 30 mm red sand stone sun-shade with cement mortar 1:4 including finishing complete.,100 sqm,2.19,,
7.31,Providing and fixing red sand stone brackets 55x22.5x45cm.,100nos,3.02,,
7.32,"Stone work, plain in copings, cornices, string courses etc. in Cement mortar 1:6 including pointing with white cement mortar (1:2).",cum,0.54,,
7.38,Stone tile work for wall lining with 12 mm thick bed in cement mortar (1:3). * White cement,sqm,10.44 + 1.70*,,
No.,,,per unit quantity of work(Quintals),,
8.1,Marble work 18 mm thick for wall lining in cement mortar 1:3 including pointing with white cement mortar 1:2.,100 sqm,8.67 + 1.70*,,
8.2,"P/F 18mm thick gang saw cut mirror polished premoulded and prepolished) machine cut for kitchen platforms, vanity counters etc. laid over 20mm thick base cement mortar 1:4.",100 sqm,9.12,,
8.4,"Extra for fixing marble /granite stone over and above corresponding basic item, in facia and drops of width upto 150 mm with epoxy resin based adhesive including cleaning etc. complete.",100 metre,1.27,,
8.7,P/F cramps in RCC/ CC backing with cement mortar 1:2 .,,,,
,8.7.1 Gunmetal cramps,kg,0.0635,,
,8.7.2 Stainless steel cramps,kg,0.0701,,
8.9,Stone tile work for wall lining over 12mm thick bed of cement mortar (1:3) and cement slurry @ 3.3 kg/sqm including pointing in white cement complete.,100 sqm,10.44 + 1.90*,,
8.11,P/F machine cut mirror/edge polished,100 sqm.,8.16 + 3.30*,,
8.14,Stone work (machine cut edges) for wall lining etc. (veneer work) in cement mortar (1:3) including pointing in white cement mortar (1:2).,100 sqm,9.18 + 1.56*,,
8.15,P/F stainless steel cramps in stone wall lining in cement mortar (1:2).,kg,0.07,,
8.16,P/F copper pins 7.5 cm long 6 mm diameter in stone wall lining in cement mortar (1:2).,each,0.007,,
8.17,"Wall lining butch work with Dholpur stone 40 mm thick, in cement mortar (1:3) including ruled pointing in cement mortar (1:2).",100 sqm,15.50 +1.70*,,
8.18,Stone work ( machine cut edges) for wall lining with grout of 12 mm thick in cement mortar (1:3) and jointed with Cement mortar (1:2).,100 sqm,13.744,,
8.21,P/F structural steel frame (for dry stone cladding) embedded in brick wall with cement concrete block (1:2:4),100kg,1.05,,
8.23,P/F 50x50x50 mm 2nd class teak wood plugs in cement mortar 1:3.,100 nos.,0.01,,
8.25,P/F 2nd class teak wood plain lining with wooden plugs.,100 sqm,0.055,,
8.31,P/F 1st quality ceramic glazed wall tiles over 12 mm thick bed of cement Mortar (1:3) with grey cement slurry @ 3.3kg/ sqm,sqm,0.1044,,
,* White cement,,,,
No.,,,per unit quantity of work(Quintals),,
,MISCELLANEOUS - WOOD WORK,,,,
9.46,"P/F curtain rods of 1.25 mm thick chromium plated brass brackets with wooden plugs, etc.",100 metre,0.01,,
9.47,Providing and fixing nickel plated M.S. pipe curtain rods with nickel plated brackets.,100 metre,0.01,,
9.53,Providing 40x5 mm flat iron hold fast 40 cm long with cement concrete block 30x10x15cm 1:3:6 mix. 100 nos 1.10,100 nos,1.10,,
No.,,,per unit quantity of work(Quintals),,
13.10,15 mm cement plaster (1:3) finished with a floating coat of neat cement.,100 sqm,10.97,,
,CEMENT PLASTER IN TWO COATS,,,,
13.11,18 mm cement plaster in two coats under layer 12 mm thick cement plaster 1:5 finished with a top layer 6mm thick cement plaster 1:6.,100 sqm,6.26,,
13.12,18 mm cement plaster in two coats under layer 12 mm thick cement plaster 1:5 and a top layer 6mm thick cement plaster (1:3).,100 sqm,8.13,,
13.13,12 mm cement plaster 1:2 (1 cement : 2 stone dust).,100 sqm,9.79,,
13.14,15 mm cement plaster 1:2 (1 cement : 2 stone dust).,100 sqm,11.70,,
13.15,20 mm cement plaster 1:2 (1 cement : 2 stone dust). 6 MM CEMENT PLASTER,100 sqm,15.23,,
13.16,6 mm cement plaster of mix :,,,,
,13.16.1 1:3 (1 cement : 3 fine sand),100 sqm,3.67,,
13.17,6 mm cement plaster (1:3) finished with a floating coat of neat cement.,100 sqm,5.87,,
13.18,Neat cement punning ROUGH CAST PLASTER,100 sqm,2.20,,
13.19,"Rough cast plaster in two layers, under layer 12 mm cement plaster (1:4) and top layer 10mm cement plaster (1:3). PEBBLE DASH PLASTER",100 sqm,11.59,,
13.20,"Pebble dash plaster in two layers, under layer 12mm cement plaster 1:4 and top layer 10mm cement plaster with cement mortar (1:3).",100 sqm,11.59,,
,PLAIN CEMENT MORTAR BANDS,,,,
13.28,12 mm thick plain cement mortar bands in cement mortar (1:4) : (Flush /Sunk / Raised / Moulded Band).,100 metre 1cm wide,0.053,,
13.29,18 mm thick plain cement mortar band in cement mortar (1:4),100 metre 1cm wide,0.076,,
13.30,"18 mm thick moulded cement mortar band in two coats under layer 12mm thick with cement mortar 1:5, top layer 6mm thick with cement mortar (1:4). POINTING OF BRICK WORK",100 metre 1cm wide,0.07,,
13.31,Pointing on brick work with cement mortar (1:3) :,,,,
,13.31.1 Flush / Ruled/ Struck or weathered pointing,100 sqm,1.53,,
,13.31.2 Raised and cut pointing,100 sqm,2.04,,
No.,,,per unit quantity of work(Quintals),,
,POINTING ON TILE BRICK WORK,,,,
13.32,Pointing on tile brick work with cement mortar (1:3).,,,,
,13.32.1 Flush/ Ruled/ Struck or weathered pointing,100 sqm,2.35,,
,POINTING ON STONE WORK,,,,
13.33,Pointing on stone work with cement mortar (1:3).,,,,
,13.33.1 Flush/ Ruled pointing,100 sqm,1.17,,
,13.33.2 Raised and cut pointing,100 sqm,2.35,,
13.34,Raised and cut pointing on stone work in white cement mortar (1:3).,100 sqm,2.35*,,
13.35,Pointing on stone slab ceiling with cement mortar (1:2).,100 sqm,1.02,,
13.72,"Washed stone grit plaster on exterior walls in two layers under layer 12mm cement plaster (1:4), top layer 15mm cement plaster 1:1/2:2.",100 sqm,17.472,,
,Note: -cement consumption for pointing is same for modular & non modular bricks.,,,,
No.,,,per unit quantity of work(Quintals),,
,FENCING,,,,
16.23,P/F boundary stone including finishing smooth with cement mortar (1:3).,each,0.082,,
16.24,P/F precast R.C.C. kilometre stone including finishing smooth in cement mortar (1:3).,,,,
,16.24.1 35x111x25 cm size,each,0.37,,
,16.24.2 50x152.5x25 cm size,each,0.698,,
,16.24.3 35x93.5x18 cm size,each,0.23,,
,CONCRETE PAVEMENT,,,,
16.42,Cement concrete (1:2:4) in pavements.,cum,3.20,,
16.43,"Providing and laying design mix cement concrete of M-30 grade, in roads/ taxi tracks/ runways, using cement content as per design mix.",cum,3.40,,
16.45,"Providing and fixing pre-moulded joint filler in expansion joints of RCC roads / CC pavements after making the joints dust free with high pressure air jet cleaners, all complete as per direction of the Engineer-in-Charge. (Pre-moulded joint fillers shall be made of bitumen hot sealing compound impregnated fibre board having impregnation more than 35%, conforming to IS:1838 for fibre board and IS: 1834 for hot sealing bitumen compound grade A.)",Per cm width per cm depth per m length,4.70,,
16.46,Providing and filling in position rubberized bitumen hot sealing compound for sealing of expansion joints in roads / pavements all complete as per direction of the Engineer-in-Charge.,,,,
,16.46.1 Using grade 'A' sealing compound conforming to IS: 1834.,Per cm width per,,,
,,cm depth,,,
,,per m,,,
,,length,7.50,,
,MISCELLANEOUS,,,,
16.49,Making bell mouth opening including providing cement concrete (1:3:6) & plastering with cement mortar (1:3).,10 Nos.,6.60,,
16.52,Providing and fixing precast lime fly ash concrete blocks including finishing with 10mm thick cement,,,,
,"mortar (1:3), in foot paths.",sqm,0.05,,
No.,,,per unit quantity of,,
,,,work(Quintals),,
18.1/18.4/ 18.7/18.10,Providing and fixing G.I./ PE-AL-PE/ PP-R pipes.,,,,
,Internal work - Exposed on wall,,,,
,18.10.1 15 mm dia nominal bore,100 metre,0.05,,
,18.10.2 20 mm dia nominal bore,100 metre,0.06,,
,18.10.3 25 mm dia nominal bore,100 metre,0.07,,
,18.10.4 32 mm dia nominal bore,100 metre,0.075,,
,18.10.5 40 mm dia nominal bore,100 metre,0.08,,
,18.10.6 50 mm dia nominal bore,100 metre,0.08,,
18.2/18.5/ 18.8/18.11,P/F concealed pipes.,100 metre,0.88,,
18.32,"Constructing masonry Chamber 0x30x50 cm, for stop cock.",each,0.26,,
18.33,"Constructing masonry Chamber 60x60x75 cm, for sluice valve.",each,1.44,,
18.34,"Constructing masonry Chamber 90x90x100 cm, for sluice valve.",each,2.48,,
18.35,"Constructing masonry Chamber 120x120x100 cm, for sluice valve.",each,3.50,,
18.36,"Constructing masonry Chamber 60x60x75 cm, for fire hydrants.",each,1.30,,
18.37,"Constructing masonry Chamber 60x45x50 cm, for water meter.",each,1.34,,
18.76,Cutting holes up to 30x30 cm in walls including making good the same.,100 Nos.,2.92,,
18.77,Cutting holes up to 15x15 cm in R.C.C. floors and roofs and repairing the hole after insertion of drain pipes etc. with cement concrete (1:2:4).,100 Nos.,0.70,,
18.78,Making chases up to 7.5x7.5 cm in walls i/c finishing.,100 metre,0.88,,
18.79,Making hole up to 20x20 cm and embedding pipes up to 150 mm diameter in masonry and filling with cement,,,,
,concrete (1:3:6).,100 metre,4.90,,
No.,,,per unit quantity of work(Quintals),,
,19.6.9 800 mm dia. R.C.C. pipe,100 metre,4.20,,
,19.6.10 900 mm dia. R.C.C. pipe,100 metre,4.90,,
,19.6.11 1000 mm dia. R.C.C. pipe,100 metre,5.50,,
,19.6.12 1100 mm dia. R.C.C. pipe,100 metre,6.10,,
,19.6.13 1200 mm dia. R.C.C. pipe,100 metre,6.80,,
19.7,Constructing brick masonry manhole in cement mortar (1:4).,,,,
,19.7.1 Inside size 90x80 cm and 45 cm deep,each,2.92,,
,19.7.2 & Inside size 120x90 cm and 90 cm.deep 19.7.3,each,4.73,,
19.8,Extra for depth for manholes,,,,
,19.8.1 Size 90x80 cm,metre,1.26,,
,19.8.2 Size 120x90 cm,metre,1.52,,
19.9,Constructing brick masonry circular type manhole 0.91 m internal dia at bottom and 0.56m dia at top in cement mortar (1:4).,,,,
,19.9.1 0.91 m deep,each,2.75,,
19.10,Extra depth for circular type manhole 0.91m internal dia (at bottom) with beyond 0.91m to 1.67m,metre,1.40,,
19.11,Constructing brick masonry circular manhole 1.22 m internal dia at bottom and 0.56m dia at top in cement mortar (1:4).,,,,
,19.11.1 1.68 m deep,each,5.39,,
19.12,Extra depth for circular type manhole 1.22m internal dia (at bottom) beyond 1.68 m to 2.29 m.,metre,1.43,,
19.13,Constructing brick masonry circular manhole 1.52 m internal dia at bottom and 0.56 m dia at top in cement mortar (1:4).,,,,
,19.13.1 2.30 m deep,each,10.86,,
19.14,Extra depth for circular type manhole 1.52 m internal dia (at bottom) beyond 2.30 m.,metre,3.11,,
19.15,Providing M.S. foot rests including fixing in manholes with 20x20x10 cm cement concrete blocks (1:3:6).,100 nos.,0.88,,
19.16,Providing orange colour safety foot rest.,100 nos.,1.98,,
19.17,Replacement of M.S. foot rests in manholes with 20x,,,,
,10x10 cm C.C. blocks (1:3:6) mix.,100 nos.,0.88,,
No.,,,per unit quantity of work(Quintals),,
26.38,"Shotcreting R.C.C. columns, beams and slabs etc. in layers with approved design mix concrete having.",,,,
,26.38.1 25mm thick in Grade M 25 with cement content not less than 330 kg per cum,100 sqm,10.31,,
,26.38.2 50mm thick in Grade M 25 with cement content not less than 330 kg per cum,100 sqm,20.63,,
,26.38.3 75mm thick in Grade M 25 with cement content not less than 330 kg per cum,100 sqm,30.94,,
26.46,"Providing and fixing in position, 200 mm thick factory made Expanded olystyrene Core (EPS Core) wall panels consisting of EPS core sandwiched between two Engineered sheets of welded wire fabric mesh.....................applying the layer of 50 mm thick cement mortar 1:3 (1 cement: 3 coarse sand)",100 sqm,51.00,,
26.47,"Providing and fixing in position, 230mm thick factory made Expanded Polystyrene Core (EPS Core) roof/floor panels........... applying a layer of 60-65 mm thick cement mortar 1: 3 {1 cement: 3 coarse sand............ applying 70- 75 mm thick layer of cement concrete 1:1.5: 3 (1 cement :1.5 coarse sand : 3 graded stone aggregate 20 mm nominal size).",100 sqm,58.60,,
26.53,Filling of empty cavities with quarry dust mixed with cement,cum,0.72,,
26.58,Filling of joints between RCC plinth beam/floor slab and wall panel of external walls,100 metre,0.03125,,
26.59,"Waterproofing treatment of vertical joints between door frame, window & ventilator frames",100 metre,0.03125,,
26.61,In filling/ sealing of joint between RCC lintel cum sunsdhade and wall,100 metre,0.03125,,
26.66,P/F factory made EPS wall panels consisting EPS core sandwhiched between two Enginered sheets,sqm,0.357,,
26.68,P/F Factory made Precast Concrete solid blocks in foundation and plinth,sqm,0.2825,,
26.69,P/F Factory made Precast Concrete solid blocks in superstructure above plinth level up to floor V level,cum,0.2825,,
26.70,Providing and laying half block masonry with factory made Precast concrete solid blocks in foundation and plinth,100 sqm,2.6904,,
26.71,Providing and laying half block masonry with factory made Precast concrete solid blocks insuperstructure above plinth level up to floor V level,100 sqm,2.6904,,
26.73.1,Fabrication & Manufacturing of prestressed Hollow Core slab of concrete grade M-40 (cement conetent 400kg),,,,
,26.73.1.1 100 mm thick hollow core slab,metre,0.36,,
,fofo/k ydM+h dk dk;Z,,,,
9-46,"inkZ Vkxus ds fy, 1-25 fe-eh- eksVh Øksfe;e p<s ihry ds nks czdsVks dh ydMh xVVks lfgr O;oLFkk djuk ,oa yxkuk",100 ehVj,0-01,,
9-47,"inkZ Vkxus ds fy, fudy p<+s uje bLikr dh uyh vkSj fudy p<+s czsdVksa dh O;oLFkk djuk vkSj mls yxkuk",100 ehVj,0-01,,
9--53,Ykskgs dh 40×5 feeh- bLikr iRrh dh 40 lseh- yEch idM+ ifV~V;ksa dh O;oLFkk djuk vkSj lhesaV dadzhV 1%3%6 ds feykos 30×10×15 lseh- fiM+dks esa xkM+us lfgr,vnn 100,1-10,,
22-1,"{kSfrt lrgksa ij tyjks/ku ds fy, ,dhd‘r lhesaV vk/kkfjr mipkj dh O;oLFkk djuk o fcNkuk ¼22-1-1½ :{k dksVk iRFkj dk iz;ksx djds",oxZ eh-,0-342,,
22-2,"m/okZ/kj lrg ij tyjks/ku ds fy, ,dhd‘r lhesaV vk/kkfjr mipkj dh O;oLFkk djuk o fcNkuk",,,,
,"22-2-1 m/okZ/kj lrg ij tyjks/ku ds fy, ,dhd‘r lhesaV vk/kkfjr mipkj dh O;oLFkk djuk o fcNkuk",oxZ eh-,0-443,,
22-3,“kkspdq.M] jlksbZ rFkk blh izdkj ds voukfer Hkkxksa dh m/okZ/kj vkSj {kSfrt lrgksa ij ty jks/ku,,,,
,i) igyh ijr esa vuq”kaflr vuqikrksa eas 4-4 fdxzk- izfr oxZ eh- ls lheasV /kksy yxkukA,,,,
,ii) Nrksa ij tyjks/ku mipkj dh O;oLFkk djuk o fcNkuk,,,,
,iii) rhljh ijr 1-7 fdxzk- izfr oxZ eh- {ks= eas xeZ&xeZ cq>k vFkok vof”k’V dksyrkj yxkdj,,,,
,iv) pkSFkh ijr 400 ekbdzku eksVh ih-oh-lh- pknj,oxZ eh-,0-158,,
22-5,“kkSpdq.M@ Lukuk?kj bR;kfn ds ladu Hkkx eas tyjks/ku mipkj dh O;oLFkk djuk o fcNkuk,oxZ eh-,0-0123,,
22-6,Nrksa ij tyjks/ku mipkj dh O;oLFkk djuk o fcNkuk,oxZ eh-,0-0195,,
22-7,"Nrksa NTtksa o mijh Nrksa ij ,dhd‘r lhesaV vk/kkfjr tyjks/ku mipkj dh O;oLFkk djuk o fcNkuk",,,,
,22-7-1 120 fe-eh- vkSlr dh eksVkbZ rFkk [kqjkZ ij 65 fe-eh- dh eksVkbZ ds lkFkA,oxZ eh-,0-387,,
22-14,"tyjks/ku mipkj ds fy, Nrks dh ?kqVkbZ",,,,
,22-14-1 lheasV dadjhV 1%2%4,?ku eh-,3-20,,
,22-14-2 lheasV elkyk 1%3,?ku eh-,5-10,,
,22-14-3 lheasV elkyk 1%4,?ku eh-,3-80,,
No.,,,,,per unit quantity of work(Quintals)
,11.11.4,White ceme,nt without any pigment,sqm,0.1097+0.081*
,11.11.5,Light shade,pigment with ordinary cement,sqm,0.1097
,11.11.6,Ordinary ce,ment without any pigment,sqm,0.1097
11.12,Marble c,hips skirting,:,,
,11.12.1,18 mm thic cement pla,k with under layer 12 mm thick in ster 1:3 (1 cement : 3 coarse sand),,
,,11.12.1.1,Dark shade pigment with ordinary cement,sqm,0.1292
,,11.12.1.2,Light shade pigment with white cement,sqm,0.0887+0.0405*
,,11.12.1.3,Medium shade pigment with 50% white cement and 50% ordinary cement,sqm,0.109+0.0203*
,,11.12.1.4,White cement without any pigment,sqm,0.109+0.0405*
,,11.12.1.5,Light shade pigment with ordinary cement,sqm,0.1292
,,11.12.1.6,Ordinary cement without any pigment,sqm,0.1292
11.15,Crazy m,arble stone f,looring,,
,11.15.1,18 mm thic specified,"k crazy marble stone white, black or as",sqm,0.1200+0.0405*
,,* White Ce,ment,,
,TILE FL,OORING,,,
11.16,Precast 20mm th,terrazo tiles ick bed of ce,"22mm thick in floors, and landings on ment mortar (1:4).",,
,11.16.1,Light shade,using white cement,sqm,0.0895+0.044*
,11.16.2,Medium sh ordinary ce,ade using 50%white cement and 50% ment,sqm,0.0917+0.0220*
,11.16.3,Dark shade,using ordinary cement,sqm,0.0939
,11.16.4,Ordinary ce,ment without any pigment,sqm,0.0939
11.18,Precast,terrazo tiles,22 mm thick in skirting and risers of steps.,,
,11.18.1,Light shade,using white cement.,sqm,0.0734+0.066*
,11.18.2,Medium sh ordinary ce,ades using 50% white cement and 50% ment.,sqm,0.1064+0.033*
,11.18.3,Dark shade,using ordinary cement,sqm,0.1394
,11.18.4,Ordinary ce,ment without any pigment,sqm,0.1394
11.19,Chequer thick be,ed terrazo til d of cement m,es 22 mm thick in floors on 20 mm ortar (1:4).,,
,11.19.1,Light shade,using white cement,sqm,0.0895+0.044*
la0,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,,
,lhesaV IyLrj ¼eghu jsr esa½,,,,
13-1,12 feeh- lhesaV IyLrj %,,,,
,13-1-1 1%4 ¼1 lheasV % 4 eghu jsr½,100 oxZ eh0 5-47,,,
,13-1-2 1%6 ¼1 lheasV % 6 eghu jsr½,100 oxZ eh0 3-60,,,
13-2,15 feeh- lhesaV IyLrj,,,,
,13-2-1 1%4 ¼1 lheasV % 4 eghu jsr½,100 oxZ eh- 6-54,,,
,13-2-2 1%6 ¼1 lheasV % 6 eghu jsr½,100 oxZ eh- 4-30,,,
13-3,20 feeh- lhesaV IyLrj %,,,,
,13-3-1 1%4 ¼1 lheasV % 4 eghu jsr½,100 oxZ eh- 8-51,,,
,13-3-2 1%6 ¼1 lheasV % 6 eghu jsr½,100 oxZ eh- 5-60,,,
,lhesUV IykLrj ¼eksVh jsr esa½,,,,
13-4,12 feeh- lhesaV IyLrj %,,,,
,13-4-1 1%4 ¼1 lheasV % 4 eksVh jsr½,100 oxZ eh- 5-47,,,
,13-4-2 1%6 ¼1 lheasV % 6 eksVh jsr½,100 oxZ eh- 3-60,,,
13-5,15 feeh- lhesaV IyLrj%,,,,
,13-5-1 1%4 ¼1 lheasV % 4 eksVh jsr½,100 oxZ eh- 6-54,,,
,13-5-2 1%6 ¼1 lheasV % 6 eksVh jsr½,100 oxZ eh- 4-30,,,
13-6,20 feeh- lhesaV IyLrj%,,,,
,13-6-1 1%4 ¼1 lheasV % 4 eksVh jsr½,100 oxZ eh- 8-51,,,
,13-6-2 1%6 ¼1 lheasV % 6 eksVh jsr½,100 oxZ eh- 5-60,,,
,lhesUV IyLrj [kkfyl lhesUV dh Åijh ?kqVkbZ lfgr,,,,
13-7,[kkfyl lhesaV ds lkFk Åijh ?kqVkbZ lfgr 12 feeh- lhesaV IyLrj,,,,
,13-7-1 1%3 ¼1 lheasV % 3 eghu jsr½,100 oxZ eh- 9-54,,,
,13-7-2 1%4 ¼1 lheasV % 4 eghu jsr½,100 oxZ eh- 7-67,,,
13-8,[kkfyl lhesaV ds lkFk Åijh ?kqVkbZ lfgr 15 feeh- lhesaV IyLrj,,,,
,13-8-1 1%3 ¼1 lheasV % 3 eghu jsr½,100 oxZ eh- 10-97,,,
,13-8-2 1%4 ¼1 lheasV % 4 eghu jsr½,100 oxZ eh- 8-74,,,
13-9,lhesaV IyLrj ¼1%3½ [kkfyl lhesaV dh Åijh ?kqVkbZ lfgr,,,,
,13-9-1 12 fe-eh- lhesaV IyLrj,100 oxZ eh- 9-54,,,
,13-9-2 20 fe-eh- lhesaV IyLrj,100 oxZ eh- 13-62,,,
la0,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,,
13-10,15 fe-eh- lhesaV IyLrj ¼1%3½ [kkfyl lhesaV dh Åijh ?kqVkbZ lfgr lhesaV IyLrj nks ijrksa esa,100 oxZ eh- 10-97,,,
13-11,18 fe-eh- eksVk lhesaV IyLrj nks ijrksa esa uhps dh 1%5 ds lhesaV IyLrj dh 12 fe-eh- eksVh ijr ds Åij 1%6 lhesaV IyLrj dh 6 fe-eh- eksVh ijr ds lkFk,100 oxZ eh- 6-26,,,
